Systematic ID	Gene name	Product description
SPAC3G6.11	chl1	ATP-dependent DNA helicase Chl1 (predicted)
SPAC19G12.06c	hta2	histone H2A beta
SPAC13F5.01c	msh1	mitochondrial MutS protein Msh1 (predicted)
SPCC550.05	nse1	Smc5-6 complex ubiquitin-protein ligase E3 subunit Nse1
SPBC216.05	rad3	ATR checkpoint kinase Rad3
SPAC664.07c	rad9	checkpoint clamp complex protein Rad9
SPCC1672.02c	sap1	switch-activating protein Sap1
SPBC216.06c	swi1	replication fork protection complex subunit Swi1
SPBC4F6.15c	swi10	DNA repair endonuclease non-catalytic subunit Swi10
SPBC713.02c	ubp15	ubiquitin C-terminal hydrolase Ubp15
