Systematic ID	Gene name	Product description
SPAC3H5.04	aar2	U5 snRNP-associated protein Aar2 (predicted)
SPBC359.03c	aat1	plasma membrane amino acid transmembrane transporter Aat1
SPBC1539.06	acb1	fatty-acyl-CoA binding protein Acb1 (predicted)
SPBC405.01	ade1	phosphoribosylamine-glycine ligase/phosphoribosylformylglycinamidine cyclo-ligase
SPAC144.03	ade2	adenylosuccinate synthetase Ade2
SPBC14F5.09c	ade8	adenylosuccinate lyase Ade8
SPCC1281.01	ags1	"cell wall alpha-1,3-glucan synthase Ags1"
SPBC1711.08	aha1	chaperone activator Aha1
SPBC530.10c	anc1	"mitochondrial carrier, ATP:ADP antiporter Anc1"
SPAC959.09c	apc5	"anaphase-promoting complex, platform subcomplex scaffold TPR subunit Apc5"
SPCC4G3.02	aph1	bis(5'-nucleosidyl)-tetraphosphatase
SPNCRNA.1140	aphl-antisense-1	antisense RNA (predicted)
SPAC3H1.07	aru1	arginase Aru1
SPAC13G6.10c	asl1	"cell wall protein Asl1, predicted O-glucosyl hydrolase"
SPBC119.10	asn1	asparagine synthetase
SPCC550.10	atd3	betaine-aldehyde dehydrogenase Atd3 (predicted)
SPNCRNA.567	atp3-antisense-1	antisense RNA (predicted)
SPAC631.02	bdf2	BET family double bromodomain protein Bdf2
SPCC1840.02c	bgs4	"cell wall and secondary septum 1,6 branched 1,3-beta-glucan synthase catalytic subunit Bgs4"
SPAC26A3.06	bud23	rRNA (guanine-N7-)-methyltransferase Bud23 (predicted)
SPBC3D6.02	but2	"But2 family protein But2, similar to cell surface molecules"
SPBC1D7.05	byr2	MAP kinase kinase kinase Byr2
SPAC13D6.02c	byr3	"translational activator, zf-CCHC type zinc finger protein (predicted)"
SPBC21C3.08c	car2	ornithine transaminase Car2
SPAC22E12.04	ccs1	superoxide dismutase copper chaperone Ccs1
SPAC1F7.05	cdc22	ribonucleoside reductase large subunit Cdc22
SPAC1565.08	cdc48	AAA family ATPase involved in ubiquitin-mediated protein degradation Cdc48
SPBC18H10.15	cdk11	serine/threonine protein kinase Cdk11
SPAC3G6.11	chl1	ATP-dependent DNA helicase Chl1 (predicted)
SPBC776.10c	cog6	Golgi transport complex peripheral subunit Cog6 (predicted)
SPBC146.12	coq6	monooxygenase Coq6 (predicted)
SPAC2C4.05	cor1	cornichon family protein (predicted)
SPAC589.09	csr101	"sec14 cytosolic factor family, phospholipid-intermembrane transfer protein Csr1 (predicted)"
SPAC25G10.07c	cut7	"kinesin-5 family plus-end directed microtubule motor, bimC subfamily Cut7"
SPAC17C9.13c	cut8	tethering factor for nuclear proteasome Cut8
SPBC3B9.22c	dad4	DASH complex subunit Dad4
SPBP8B7.16c	dbp2	ATP-dependent RNA helicase Dbp2
SPCC1020.05	dcr2	phosphoprotein phosphatase involved in unfolded protein response Dcr2 (predicted)
SPAC26A3.12c	dhp1	5'-3' exoribonuclease Dhp1
SPBC3D6.12	dip2	U3 snoRNA associated protein Dip2 (predicted)
SPBC428.02c	eca39	branched chain amino acid aminotransferase Eca39
SPBP35G2.16c	ecl2	extender of chronological lifespan protein Ecl2
SPAC513.01c	eft201	"translation elongation factor 2 (EF-2) Eft2,A"
SPCP31B10.07	eft202	"translation elongation factor 2 (EF-2) Eft2,B"
SPAC1B2.03c	elo2	fatty acid elongase Elo2 (predicted)
SPBC18E5.05c	elp5	elongator complex subunit Elp5 (predicted)
SPBC4F6.13c	erb1	WD repeat/BOP1NT protein Erb1 (predicted)
SPBC4F6.16c	ero11	ER oxidoreductin Ero1a
SPBC1105.05	exg1	"cell wall glucan 1,6-beta-glucosidase Exg1"
SPAC4A8.11c	fas2	fatty acid synthase alpha subunit Fas2
SPBC1685.13	fhn1	eisosome assembly protein Fhn1
SPBC2D10.10c	fib1	"fibrillarin, rRNA methyltransferase"
SPBC29A10.08	gas2	"cell wall 1,3-beta-glucanosyltransferase Gas2"
SPAC11E3.13c	gas5	"cell wall protein 1,3-beta-glucanosyltransferase Gas5 (predicted)"
SPCC825.02	gbs1	glucosidase II beta subunit
SPCC548.06c	ght8	"plasma membrane hexose:proton symporter, unknown specificity Ght8 (predicted)"
SPAPB1E7.07	glt1	glutamate synthase Glt1
SPCC4B3.02c	got1	Golgi transport protein Got1 (predicted)
SPAPB2B4.01c	gpi12	"pig-L, N-acetylglucosaminylphosphatidyl inositoldeacetylase (predicted)"
SPBC2F12.14c	gua1	IMP dehydrogenase Gua1
